metarow	metacol	Column	Row	Name	ID	F635.Median.M1K3.1	F532.Median.M1K3.1	Flags.M1K3.1	F635.Median.M1K3.2	F532.Median.M1K3.2	Flags.M1K3.2	F635.Median.M1K5.1	F532.Median.M1K5.1	Flags.M1K5.1	F635.Median.M1K5.2	F532.Median.M1K5.2	Flags.M1K5.2	F635.Median.M2K3.1	F532.Median.M2K3.1	Flags.M2K3.1	F635.Median.M2K3.2	F532.Median.M2K3.2	Flags.M2K3.2	F635.Median.M2K5.1	F532.Median.M2K5.1	Flags.M2K5.1	F635.Median.M2K5.2	F532.Median.M2K5.2	Flags.M2K5.2	F635.Median.M3K3.1	F532.Median.M3K3.1	Flags.M3K3.1	F635.Median.M3K3.2	F532.Median.M3K3.2	Flags.M3K3.2	F635.Median.M3K5.1	F532.Median.M3K5.1	Flags.M3K5.1	F635.Median.M3K5.2	F532.Median.M3K5.2	Flags.M3K5.2	F635.Median.M4K3.1	F532.Median.M4K3.1	Flags.M4K3.1	F635.Median.M4K3.2	F532.Median.M4K3.2	Flags.M4K3.2	F635.Median.M4K5.1	F532.Median.M4K5.1	Flags.M4K5.1	F635.Median.M4K5.2	F532.Median.M4K5.2	Flags.M4K5.2	F635.Median.M5K3.1	F532.Median.M5K3.1	Flags.M5K3.1	F635.Median.M5K3.2	F532.Median.M5K3.2	Flags.M5K3.2	F635.Median.M5K5.1	F532.Median.M5K5.1	Flags.M5K5.1	F635.Median.M5K5.2	F532.Median.M5K5.2	Flags.M5K5.2	F635.Median.M6K3.1	F532.Median.M6K3.1	Flags.M6K3.1	F635.Median.M6K3.2	F532.Median.M6K3.2	Flags.M6K3.2	F635.Median.M6K5.1	F532.Median.M6K5.1	Flags.M6K5.1	F635.Median.M6K5.2	F532.Median.M6K5.2	Flags.M6K5.2
1	1	11	 1	AI323434	480980	  289	  137	-50	  215	  103	-50	   79	  247	-50	   91	  230	-50	  404	  117	-50	  285	  137	-50	  109	  249	  0	   65	  255	-50	  208	  279	  0	  231	  283	  0	  141	  739	-50	  124	  637	-50	  188	  237	  0	  202	  250	  0	  100	  467	-50	  183	  580	  0	  591	  498	  0	  599	  436	  0	  163	  401	  0	  674	  826	  0	  831	 1013	  0	  469	  471	  0	  346	  512	  0	  836	 1024	  0
1	1	12	 1	AI323442	481530	 1121	 1602	  0	  768	 1246	  0	 1250	 1352	  0	 1684	 1703	  0	 1732	 2240	  0	 2238	 3443	  0	 1857	 1657	  0	  405	  505	  0	 1352	 1957	  0	  853	 1085	  0	 4244	 2870	  0	 1662	 1336	  0	  703	  816	  0	 1167	 1373	  0	 1173	 1333	  0	 1706	 1507	  0	 3173	 5506	  0	 1822	 2570	  0	  731	  836	  0	 1169	 1176	  0	 1516	 2020	  0	  677	  931	  0	  817	  889	  0	 1481	 1479	  0
1	1	13	 1	AI323506	493203	  377	  318	  0	  340	  264	  0	  202	  478	  0	  296	  570	  0	  615	  381	  0	  694	  577	  0	  285	  502	  0	  131	  336	  0	  383	  446	  0	  262	  320	  0	  624	 1116	  0	  294	  749	  0	  265	  342	  0	  749	  862	  0	  235	  634	  0	  266	  664	  0	  827	  898	  0	  586	  572	  0	  105	  304	  0	  256	  452	  0	  631	  703	  0	  236	  245	  0	  194	  386	  0	  388	  616	  0
1	1	14	 1	AI385627	352778	  325	  218	  0	  283	  147	  0	  103	  280	  0	  127	  305	  0	  446	  165	-50	  347	  199	  0	  137	  258	  0	   85	  286	-50	  221	  321	  0	  226	  302	  0	  227	  866	  0	   99	  556	-50	  187	  290	  0	  211	  317	  0	  138	  534	  0	  217	  683	  0	  333	  405	  0	  256	  238	  0	   84	  279	  0	  155	  308	  0	  682	  713	  0	  180	  187	  0	  185	  383	  0	  453	  623	  0
1	1	15	 1	AI385632	367062	  258	  189	-50	  241	  145	-50	   99	  280	  0	  142	  294	  0	  420	  169	-50	  350	  171	  0	  130	  249	  0	  119	  290	  0	  199	  313	  0	  182	  257	  0	  234	  816	-50	  100	  534	  0	  170	  276	  0	  214	  310	  0	  101	  478	-50	  218	  617	  0	  388	  475	  0	  414	  376	  0	   99	  290	  0	  295	  481	  0	  425	  419	  0	  274	  242	  0	  260	  465	  0	  274	  496	  0
1	1	16	 1	AI385635	368355	 3023	 2285	  0	 2058	 1628	  0	  725	 1373	  0	 1449	 2495	  0	 2318	 1663	  0	 1924	 1639	  0	 1300	 2067	  0	  505	  948	  0	 2002	 1533	  0	 1733	 1234	  0	 3494	 4338	  0	 1074	 1627	  0	 1584	  985	  0	 2232	 1395	  0	 1652	 2613	  0	 2915	 3548	  0	 5324	 4416	  0	 3807	 2626	  0	 1401	 2823	  0	 2136	 3756	  0	 3221	 2661	  0	 2595	 1944	  0	 2146	 3404	  0	 2513	 4100	  0
1	1	17	 1	AI385644	374027	 2092	 1670	  0	 1877	 1452	  0	 1106	 2329	  0	 1539	 3115	  0	 2584	 1873	  0	 2569	 1990	  0	 1151	 2274	  0	  372	  851	  0	 1170	 1098	  0	 1028	  993	  0	 2502	 4287	  0	  680	 1420	  0	 1275	  910	  0	 2111	 1443	  0	  883	 1860	  0	 1651	 2693	  0	 5100	 5102	  0	 3283	 2727	  0	  538	 1113	  0	 1007	 1625	  0	 1637	 1492	  0	 1197	 1100	  0	 1076	 1704	  0	 1038	 1623	  0
1	1	18	 1	AI385649	374577	  770	  525	  0	 1552	 1242	  0	  142	  372	  0	  187	  464	  0	  494	  174	-50	  299	  101	-50	  151	  316	  0	  287	  612	  0	  364	  439	  0	  897	  861	  0	 1234	 1946	  0	  561	 1080	  0	  543	  447	  0	  978	  780	  0	 1247	 2388	  0	 1388	 2120	  0	 3250	 3444	  0	 1349	 1351	  0	  877	 1627	  0	  798	 1572	  0	  850	  728	  0	 1191	 1303	  0	 1360	 2164	  0	 1279	 1891	  0
1	1	19	 1	AI385707	419914	 1673	 2046	  0	 1246	 1358	  0	 1020	 1314	  0	 1181	 1440	  0	 1318	 1249	  0	  926	  982	  0	 1123	 1176	  0	  211	  416	  0	  842	 1144	  0	  799	  855	  0	 1984	 2201	  0	  380	  795	  0	  710	  760	  0	  826	  840	  0	 1573	 2034	  0	 1583	 1548	  0	 3678	 4175	  0	 2559	 2563	  0	  799	 1190	  0	 1118	 1568	  0	 1892	 1860	  0	 1014	 1166	  0	 1620	 1992	  0	 1674	 2117	  0
1	1	 1	 2	AI385711	421002	  741	  945	  0	  518	  702	  0	  726	  811	  0	  945	  958	  0	  860	 1013	  0	  948	 1401	  0	  738	  750	  0	  315	  503	  0	  755	 1197	  0	  519	  678	  0	 1394	 1483	  0	  461	  679	  0	  451	  670	  0	  545	  822	  0	  699	  961	  0	  711	  901	  0	 1617	 2696	  0	  856	 1008	  0	  418	  742	  0	  566	  734	  0	  825	 1021	  0	  423	  530	  0	  722	 1015	  0	 1237	 1556	  0
1	1	 2	 2	AI385717	421728	  347	  287	  0	  298	  267	  0	  244	  350	  0	  334	  444	  0	  511	  407	  0	  454	  521	  0	  292	  353	  0	   99	  268	-50	  382	  588	  0	  381	  479	  0	  506	  930	  0	  213	  579	  0	  273	  416	  0	  266	  438	  0	  330	  692	  0	  325	  604	  0	  885	 1412	  0	  470	  487	  0	  346	  621	  0	  468	  591	  0	  613	  583	  0	  397	  432	  0	  652	  873	  0	 1176	 1374	  0
1	1	 3	 2	AI385730	423028	  355	  177	  0	  256	  118	-50	  113	  335	  0	  147	  409	  0	  532	  218	  0	  464	  229	  0	  186	  362	  0	   87	  313	  0	  336	  393	  0	  251	  278	  0	  237	  880	-50	  137	  590	-50	  267	  364	  0	  292	  298	  0	  253	  721	  0	  226	  662	  0	  720	  652	  0	  301	  241	  0	  141	  415	  0	  217	  403	  0	  390	  341	  0	  223	  191	  0	  395	  575	  0	  410	  641	  0
1	1	 4	 2	AI385745	426165	10460	  764	  0	 7366	  540	  0	  537	11109	  0	  739	14302	  0	10856	  838	  0	15710	 1111	  0	  635	11147	  0	  161	 2382	  0	 8968	 1176	  0	 4095	  588	  0	 1450	17404	  0	  434	 6385	  0	 7139	  727	  0	11173	  979	  0	  639	10580	  0	  617	 8513	  0	18190	 1660	  0	 9334	  768	  0	  233	 3245	  0	  242	 2152	  0	 3823	  563	  0	 2303	  327	  0	  318	 2163	  0	  315	 1697	  0
1	1	 5	 2	AI385752	427483	  440	  164	  0	  355	  163	  0	  127	  443	  0	  136	  471	  0	  612	  193	  0	  490	  167	  0	  179	  504	  0	   68	  317	-50	  390	  382	  0	  310	  298	  0	  280	 1083	  0	  103	  654	-50	  305	  311	  0	  328	  310	  0	  182	  753	  0	  259	  773	  0	 2062	  871	  0	  997	  389	  0	  340	  791	  0	  546	  840	  0	 1029	  808	  0	  548	  414	  0	  723	  982	  0	  882	  868	  0
1	1	 6	 2	AI894196	354624	  723	  546	  0	  550	  469	  0	  434	  887	  0	  534	 1068	  0	  921	  651	  0	 1086	  873	  0	  454	  866	  0	  161	  444	  0	  712	  764	  0	  611	  662	  0	  982	 1525	  0	  428	  889	  0	  403	  393	  0	  578	  500	  0	  348	  824	  0	  495	  885	  0	 1444	 1420	  0	  752	  634	  0	  271	  609	  0	  266	  437	  0	  682	  711	  0	  404	  370	  0	  414	  615	  0	  441	  701	  0
1	1	 7	 2	AI894211	356208	  310	  175	-50	  240	  118	-50	  131	  264	  0	  124	  318	  0	  424	  185	-50	  359	  207	  0	  156	  276	  0	   77	  276	-50	  268	  417	  0	  217	  299	  0	  293	  795	-50	   93	  510	-50	  179	  282	  0	  252	  336	  0	  127	  519	-50	  206	  596	  0	  339	  400	  0	  233	  262	  0	  142	  357	  0	  186	  336	  0	  368	  417	  0	  226	  213	  0	  235	  413	  0	  247	  480	  0
1	1	 8	 2	AI894225	368469	  573	  359	  0	  398	  215	  0	  198	  508	  0	  265	  663	  0	  666	  309	  0	  753	  471	  0	  275	  576	  0	  122	  408	  0	  503	  512	  0	  427	  393	  0	  741	 1400	  0	  309	  807	  0	  376	  350	  0	  548	  526	  0	  241	  774	  0	  363	  810	  0	 1509	 1048	  0	  508	  408	  0	  385	  815	  0	  582	  904	  0	  801	  820	  0	  458	  453	  0	  457	  832	  0	  468	  809	  0
1	1	 9	 2	AI894113	374700	  646	  640	  0	  368	  323	  0	  370	  535	  0	  437	  598	  0	  780	  653	  0	  713	  834	  0	  644	  684	  0	  157	  349	  0	  517	  868	  0	  410	  544	  0	 1427	 1428	  0	  471	  741	  0	  360	  476	  0	  470	  566	  0	  497	  775	  0	  730	  890	  0	 1289	 1530	  0	  470	  585	  0	  677	  906	  0	  857	 1084	  0	  903	 1086	  0	  492	  615	  0	  774	  940	  0	  944	 1146	  0
1	1	10	 2	AI894132	385681	 1496	 1148	  0	 1071	  750	  0	  825	 1614	  0	 1104	 1948	  0	 1889	 1397	  0	 2280	 1910	  0	 1120	 1772	  0	  205	  472	  0	 1233	 1317	  0	  763	  715	  0	 2549	 3057	  0	 1115	 1502	  0	 1002	  560	  0	 1519	  995	  0	  794	 1512	  0	  924	 1433	  0	 3257	 3200	  0	 1642	 1362	  0	  369	  780	  0	  603	  891	  0	 1149	 1212	  0	  527	  522	  0	  478	  802	  0	  543	  836	  0
1	1	11	 2	AI894147	386989	 1084	 2305	  0	  768	 1713	  0	 1458	 1241	  0	 1916	 1398	  0	 1360	 2765	  0	 1480	 3656	  0	 1913	 1439	  0	  474	  561	  0	  880	 1870	  0	  669	 1115	  0	 4133	 2368	  0	 2071	 1328	  0	  654	 1195	  0	 1073	 2006	  0	 1383	 1185	  0	 1723	 1259	  0	 1843	 5121	  0	 1156	 2606	  0	  525	  612	  0	 1079	  901	  0	 1423	 2326	  0	  453	  970	  0	  893	  748	  0	 1272	 1138	  0
1	1	12	 2	AI327073	421813	  427	  525	  0	  374	  442	  0	  317	  522	  0	  465	  635	  0	  666	  613	  0	  649	  871	  0	  518	  601	  0	  153	  342	-50	  384	  582	  0	  308	  399	  0	  954	 1224	  0	  405	  736	  0	  263	  364	  0	  446	  534	  0	  327	  710	  0	  381	  672	  0	  728	 1294	  0	  403	  620	  0	  151	  352	  0	  352	  432	  0	  722	  901	  0	  237	  318	  0	  261	  384	  0	  584	  780	  0
1	1	13	 2	AI327076	422012	  999	 1640	  0	  788	 1306	  0	 1004	 1286	  0	 1355	 1486	  0	 1267	 1858	  0	 1554	 2789	  0	 1469	 1509	  0	  501	  693	  0	  904	 1549	  0	  614	  934	  0	 3520	 2508	  0	 1517	 1373	  0	  726	 1017	  0	 1128	 1664	  0	  986	 1145	  0	 1272	 1158	  0	 2150	 4623	  0	 1508	 2573	  0	  514	  666	  0	  717	  770	  0	 1094	 1616	  0	  493	  889	  0	  654	  765	  0	  670	  788	  0
1	1	14	 2	AI327088	422796	  618	  694	  0	  291	   85	-50	   70	  257	-50	  118	  310	  0	  453	  107	-50	  368	  254	  0	  324	  426	  0	  271	  415	  0	  577	  794	  0	  847	 1229	  0	 1214	 1445	  0	  992	 1084	  0	  194	  191	-50	  906	  951	  0	  994	 1196	  0	  106	  497	-50	 1255	 2081	  0	  407	  580	  0	  322	  459	  0	  647	 1175	  0	 1232	 1695	  0	  533	  748	  0	  633	  861	  0	  684	  960	  0
1	1	15	 2	AI327091	422840	 1434	 2579	  0	 1303	 2288	  0	 1341	 1337	  0	 1606	 1513	  0	 1809	 2724	  0	 1134	 1754	  0	 1620	 1498	  0	 1211	 1315	  0	 1121	 1803	  0	  969	 1546	  0	 3239	 2315	  0	 1523	 1483	  0	  848	  963	  0	  985	 1385	  0	 2503	 2151	  0	 1650	 1210	  0	 1780	 3771	  0	 1425	 2304	  0	 1730	 1705	  0	 1476	 1330	  0	 1068	 2047	  0	 1295	 2255	  0	 2363	 1906	  0	 2356	 1787	  0
1	1	16	 2	AI327095	423144	  441	  392	  0	  470	  483	  0	  170	  364	  0	  244	  437	  0	  504	  354	  0	  434	  353	  0	  271	  391	  0	  182	  404	  0	  337	  474	  0	  347	  389	  0	  584	 1132	  0	  324	  743	  0	  319	  346	  0	  431	  512	  0	  514	  936	  0	  733	  944	  0	 1075	 1681	  0	  423	  559	  0	  472	  890	  0	  435	  771	  0	  560	  568	  0	  826	  728	  0	  517	  728	  0	  659	  985	  0
1	1	17	 2	AI327100	423390	  882	 1140	  0	  745	  948	  0	  661	 1152	  0	  835	 1293	  0	 1054	 1178	  0	 1039	 1415	  0	  744	 1085	  0	  335	  643	  0	  705	  912	  0	  561	  627	  0	 1946	 1916	  0	  611	  938	  0	  502	  545	  0	  758	  773	  0	  552	  955	  0	  842	 1128	  0	 1663	 2684	  0	  983	 1298	  0	  352	  639	  0	  525	  788	  0	  809	 1038	  0	  488	  610	  0	  386	  665	  0	  674	  917	  0
1	1	18	 2	AI327149	425721	  710	  750	  0	  590	  647	  0	  533	  688	  0	  587	  786	  0	  820	  843	  0	  697	  919	  0	  496	  609	  0	  185	  389	  0	  417	  755	  0	  534	  711	  0	 1257	 1397	  0	  369	  734	  0	  391	  543	  0	  518	  729	  0	  423	  781	  0	  717	 1016	  0	 1074	 1624	  0	  634	  805	  0	  197	  427	  0	  458	  739	  0	  588	  693	  0	  303	  413	  0	  389	  579	  0	  606	  826	  0
1	1	19	 2	AI327152	425838	 1460	  260	  0	 1448	  184	  0	  124	 2355	  0	  136	 2595	  0	 2383	  202	  0	 2423	  190	  0	  142	 2359	  0	  101	  943	  0	 1415	  311	  0	 1062	  298	  0	  216	 3444	  0	   92	 1557	  0	  800	  254	  0	 1468	  277	  0	  132	 1441	  0	  220	 1709	  0	 3651	  623	  0	 2551	  366	  0	  253	 1142	  0	  333	 1240	  0	 1219	  428	  0	  639	  196	  0	  246	  992	  0	  459	 1229	  0
1	1	 1	 3	AI327160	426428	 1848	 1967	  0	 1782	 2007	  0	 1045	 1291	  0	  953	 1114	  0	 1957	 2242	  0	 1286	 1551	  0	 1440	 1496	  0	  882	 1060	  0	 1470	 2268	  0	  993	 1298	  0	 1664	 2084	  0	  811	 1102	  0	  683	  799	  0	  817	 1025	  0	 1127	 1765	  0	 1118	 1424	  0	  939	 1485	  0	  834	  971	  0	 1266	 1942	  0	  772	  951	  0	 1257	 1664	  0	 1010	 1228	  0	 1852	 2197	  0	 2368	 3178	  0
1	1	 2	 3	AI327188	437757	  315	   81	-50	  247	   70	-50	  120	  291	  0	   74	  298	-50	  430	   86	-50	  536	  516	  0	   79	  191	-50	  210	  411	  0	  502	  711	  0	  445	  513	  0	   86	  689	-50	  340	  643	  0	  386	  462	  0	  370	  541	  0	   73	  500	-50	  512	  817	  0	  602	  876	  0	  952	 1015	  0	 1246	 2027	  0	  591	  909	  0	 1670	 1805	  0	  436	  565	  0	 1340	 1769	  0	 1452	 1962	  0
1	1	 3	 3	AI327197	438464	 1792	 2358	  0	 1877	 2235	  0	 1959	 2461	  0	 2176	 2553	  0	 2531	 3015	  0	 3212	 4916	  0	 1880	 1849	  0	  688	  873	  0	 1963	 2873	  0	 1811	 2206	  0	 4363	 3475	  0	 1319	 1249	  0	 1422	 1548	  0	 1411	 1608	  0	 2077	 2334	  0	 2322	 2291	  0	 3247	 4790	  0	 1672	 2041	  0	 2473	 3072	  0	 1971	 2419	  0	 1655	 2183	  0	 1574	 1841	  0	 1997	 2260	  0	 2576	 2956	  0
1	1	 4	 3	AI327207	439174	  358	  268	-50	  297	  246	  0	  208	  388	  0	  257	  448	  0	  529	  354	  0	  454	  400	  0	  264	  373	  0	   82	  268	-50	  336	  503	  0	  294	  391	  0	  496	  913	  0	  157	  574	-50	  266	  366	  0	  290	  433	  0	  228	  604	  0	  307	  613	  0	 1011	 1313	  0	  275	  304	  0	  435	  707	  0	  437	  575	  0	  449	  439	  0	  625	  401	  0	  701	  925	  0	  824	 1198	  0
1	1	 5	 3	AI324227	464892	  904	 1226	  0	  667	  970	  0	 1026	 1240	  0	 1078	 1236	  0	 1688	 1665	  0	 1525	 2124	  0	 1409	 1651	  0	  458	  624	  0	 1109	 1602	  0	  772	  933	  0	 3109	 2489	  0	  886	 1081	  0	  733	  785	  0	  815	  934	  0	  807	 1028	  0	 1356	 1385	  0	 2774	 5177	  0	  899	 1297	  0	 1444	 1852	  0	 1162	 1376	  0	 1541	 2236	  0	  902	  956	  0	 1491	 1823	  0	 1576	 1993	  0
1	1	 6	 3	AI324234	464995	 2435	 1627	  0	 1819	 1180	  0	 1339	 3518	  0	 1600	 3680	  0	 3417	 2047	  0	 4075	 2645	  0	 1397	 3313	  0	  370	 1112	  0	 2799	 1900	  0	 1646	 1051	  0	 2901	 4572	  0	  849	 1848	  0	 1562	  907	  0	 2415	 1331	  0	 1053	 2148	  0	 1275	 2165	  0	 4866	 3807	  0	 2872	 1816	  0	  584	 1268	  0	  426	  938	  0	 1578	 1256	  0	  928	  709	  0	  546	 1027	  0	  525	  969	  0
1	1	 7	 3	AI324241	465153	 1184	 2659	  0	  874	 1838	  0	 1868	 1614	  0	 2096	 1753	  0	 1677	 3525	  0	 1844	 4486	  0	 2033	 1578	  0	  763	  867	  0	 1133	 2520	  0	  686	 1326	  0	 4697	 2480	  0	 2166	 1378	  0	  770	 1285	  0	 1178	 1929	  0	 1608	 1395	  0	 1775	 1329	  0	 2592	 5305	  0	 1233	 2796	  0	  828	  950	  0	  615	  695	  0	  679	 1597	  0	  567	 1046	  0	  743	  954	  0	  774	 1038	  0
1	1	 8	 3	AI324246	465483	  881	 1011	  0	  644	  680	  0	  587	 1097	  0	  749	 1292	  0	 1160	 1130	  0	 1159	 1378	  0	  756	 1161	  0	  374	  731	  0	  894	  982	  0	  598	  610	  0	 1585	 1900	  0	  731	 1227	  0	  482	  455	  0	  824	  730	  0	  514	  976	  0	  618	  952	  0	 1720	 2220	  0	  978	 1105	  0	  494	  838	  0	  349	  564	  0	  543	  678	  0	  458	  501	  0	  438	  661	  0	  397	  728	  0
1	1	 9	 3	AI324252	466267	  528	  218	  0	  382	  140	  0	  119	  488	  0	  150	  580	  0	  737	  222	  0	  766	  415	  0	  254	  663	  0	   98	  395	  0	  497	  410	  0	  502	  410	  0	  550	 1476	  0	  245	  856	  0	  439	  323	  0	  902	  637	  0	  286	  985	  0	  331	  918	  0	  826	  580	  0	  644	  613	  0	  756	 1181	  0	  487	  985	  0	  705	  590	  0	  340	  301	  0	  455	  695	  0	  546	  737	  0
1	1	10	 3	AI324257	466512	  531	  433	  0	  406	  298	  0	  263	  500	  0	  303	  539	  0	  666	  439	  0	  644	  570	  0	  307	  506	  0	  129	  335	  0	  481	  649	  0	  386	  445	  0	  728	 1216	  0	  210	  695	-50	  334	  429	  0	  418	  477	  0	  325	  768	  0	  349	  675	  0	  602	  812	  0	  342	  427	  0	  463	  702	  0	  597	  926	  0	 1145	 1499	  0	  648	  981	  0	  493	  761	  0	  939	 1275	  0
1	1	11	 3	AI327319	574265	14280	26732	  0	10276	17861	  0	13443	 9997	  0	17645	11129	  0	14163	26636	  0	13522	26383	  0	17202	10879	  0	 7557	 5589	  0	 8877	20099	  0	 6766	13169	  0	32684	14083	  0	18264	 9017	  0	 6771	11032	  0	 8949	14491	  0	14338	 9552	  0	17998	 9694	  0	14790	30732	  0	 9044	16618	  0	 8219	 6533	  0	 6842	 5000	  0	 9021	18156	  0	 5244	11782	  0	 8357	 6280	  0	 5469	 4583	  0
