probeID	Array1Dye1	Array2Dye1	Array3Dye1	Array4Dye1	Array5Dye1	Array6Dye1	Array7Dye1	Array8Dye1	Array9Dye1	Array10Dye1	Array11Dye1	Array12Dye1	Array13Dye1	Array14Dye1	Array15Dye1	Array16Dye1	Array17Dye1	Array18Dye1
1415680_at	8.572696	8.51964	8.690419	8.52572	8.526009	8.60333	8.529927	8.670762	8.429494	8.558233	8.545494	8.556165	8.561278	8.521753	8.60333	8.656177	8.533726	8.553704
1415681_at	9.571089	9.608721	9.618475	9.560925	9.541616	9.522505	9.481679	9.512612	9.480006	9.575635	9.440871	9.448486	9.440245	9.509521	9.38199	9.436697	9.390349	9.485962
1415682_at	8.232272	8.354782	8.454812	8.338036	8.367991	8.407733	8.446206	8.607017	8.508308	8.684139	8.516156	8.491603	8.385995	8.493452	8.391811	8.401166	8.377064	8.331228
1415683_at	9.892576	9.838203	10.000695	9.881589	9.898935	9.770378	10.093335	10.035963	9.938729	10.018733	9.893551	10.002889	9.874452	9.903331	9.929823	10.042826	9.823039	9.885393
1415684_at	9.627053	9.749458	9.737915	9.635507	9.687793	9.68235	9.28774	9.324353	9.440942	9.507129	9.403063	9.407843	9.536881	9.536852	9.485	9.554895	9.635556	9.566473
1415685_at	7.150043	7.199059	7.655527	7.919609	7.634156	7.728629	7.683051	7.791315	7.578985	7.60313	7.598825	7.790685	7.426595	7.460914	7.562885	7.819556	7.444081	7.417371
1415686_at	9.96262	10.009233	9.92083	9.885601	9.926592	9.959822	9.930069	9.975649	9.935366	9.940301	9.929816	9.9302	9.918663	9.95261	10.001812	9.947148	9.896642	9.838884
1415687_a_at	11.849033	11.969466	11.797367	11.739904	11.776146	11.884724	11.766278	11.694918	11.551746	11.648609	11.668131	11.652799	11.712667	11.646633	11.635475	11.81514	11.793967	11.748562
1415688_at	9.849307	9.796856	9.935163	9.917189	9.983878	9.918439	9.885721	9.844851	10.079527	10.074754	9.988606	9.981895	9.846907	9.757721	9.800414	9.902589	9.895064	9.868643
1415689_s_at	7.834252	7.79149	8.365895	8.246676	8.027868	8.046742	8.060768	8.199955	8.09035	8.436451	8.275913	8.141633	8.111264	8.122346	8.164014	8.341571	8.060652	8.117263
1415690_at	9.598012	9.650931	10.056833	9.939998	10.068279	9.967315	9.407896	9.464761	9.454255	9.560052	9.789518	9.819383	9.91101	9.93581	10.000203	10.120373	9.891442	9.934222
1415691_at	9.326314	9.490837	9.426953	9.40218	9.392142	9.321185	9.539279	9.631238	9.539614	9.65051	9.527524	9.649642	9.308706	9.426534	9.304124	9.390799	9.385548	9.413181
1415692_s_at	11.480129	11.584309	11.371937	11.383451	11.499959	11.420134	11.402781	11.500421	11.472681	11.473899	11.417638	11.35935	11.396288	11.335832	11.426158	11.469536	11.380479	11.362674
1415693_at	9.637867	9.654102	9.525134	9.510943	9.625282	9.528823	9.480471	9.463432	9.358327	9.442361	9.35607	9.310206	9.496644	9.498422	9.531742	9.628222	9.416521	9.541885
1415694_at	6.51467	6.786123	6.659659	6.601841	6.455286	6.455286	6.909752	7.088488	6.788127	6.811719	6.848466	6.803257	6.610923	6.648709	6.810038	6.857903	6.811699	6.734461
1415695_at	10.110929	10.108037	10.346866	10.31674	10.295952	10.230045	10.227087	10.386125	10.241868	10.298246	10.373769	10.243893	10.29848	10.212628	10.216813	10.300312	10.291154	10.29823
1415696_at	10.155556	10.059442	10.059181	10.044612	10.014119	10.048777	9.984851	10.010442	9.867377	9.956043	9.974178	9.968203	10.032831	10.097825	10.116586	10.191797	9.950554	10.008259
1415697_at	8.825004	8.756636	8.868354	8.800862	8.92858	8.920527	8.555785	8.518258	8.605729	8.613421	8.57204	8.716408	8.697169	8.666204	8.62881	8.634383	8.7261	8.738698
1415698_at	6.611605	6.397517	6.55745	6.474954	6.58039	6.64655	6.991461	6.813463	6.793486	6.768059	6.693909	6.686363	6.577398	6.360508	6.520333	6.603054	6.636766	6.683017
1415699_a_at	9.919373	9.956549	9.816692	9.760222	9.767621	9.771266	9.841499	9.853488	9.70421	9.792966	9.834546	9.716188	9.742642	9.800381	9.791439	9.868608	9.785704	9.809397
1415700_a_at	11.44869	11.547472	11.222716	11.17232	11.402773	11.46989	11.329909	11.425183	11.196613	11.297605	11.147285	11.175591	11.393277	11.39703	11.444814	11.383498	11.267944	11.117755
1415701_x_at	12.598542	12.671309	12.541807	12.470509	12.604148	12.550729	12.84604	12.684115	12.631939	12.635588	12.726898	12.662253	12.57158	12.509916	12.586295	12.644643	12.570675	12.499637
1415702_a_at	9.275009	9.307664	9.310207	9.283712	9.187935	9.146944	9.372268	9.386579	9.344521	9.399103	9.366523	9.391883	9.377697	9.392759	9.195433	9.328876	9.286066	9.307079
1415703_at	9.597292	9.545487	9.489287	9.43534	9.338632	9.465007	9.463033	9.489694	9.535769	9.729668	9.530094	9.529694	9.493305	9.537951	9.424212	9.51727	9.309591	9.356764
1415704_a_at	9.735723	9.823683	9.918918	9.814659	9.693023	9.670696	10.092702	10.206802	10.142602	10.239268	10.123271	10.097657	9.815487	9.87856	9.860996	10.043063	9.731183	9.833821
1415705_at	8.378789	8.372582	8.238315	8.215325	8.335516	8.303637	8.251318	8.466076	8.464287	8.364771	8.32669	8.30298	8.258997	8.345006	8.264234	8.349073	8.224477	8.236922
1415706_at	10.731595	10.892127	10.820617	10.752172	10.662765	10.655419	11.032937	11.119629	10.875457	10.916852	10.767643	10.79738	10.909811	10.874303	10.86255	10.811843	10.764088	10.791286
1415707_at	9.072635	9.06055	9.036959	9.014237	8.944122	8.850011	9.062244	9.060058	8.852086	8.961522	8.916418	9.015836	8.968063	9.019103	8.881658	9.102914	8.915766	9.03032
1415708_at	8.347475	8.362001	8.517598	8.399901	8.469627	8.568363	8.506666	8.609771	8.483381	8.562332	8.528216	8.641425	8.323567	8.506044	8.286633	8.409126	8.262827	8.2696
1415709_s_at	7.938727	8.150479	8.073225	8.145539	8.078	8.146639	7.848275	7.899718	7.720326	7.87511	7.851851	7.888025	8.099458	8.110318	8.120288	8.069075	7.995301	8.082051
1415710_at	8.588759	8.528635	8.541277	8.491603	8.481953	8.571305	8.419585	8.409646	8.281432	8.369739	8.203076	8.202439	8.311669	8.36827	8.262949	8.408524	8.491747	8.499158
1415711_at	9.653728	9.47547	9.608774	9.647346	9.47834	9.528526	9.793028	9.807861	9.866251	9.942212	9.818313	9.792454	9.681617	9.695406	9.644639	9.715543	9.630052	9.590491
1415712_at	8.161177	8.177794	8.283577	8.214289	8.194042	8.182416	8.419292	8.630748	8.681848	8.886035	8.482214	8.433523	8.196558	8.191649	8.207243	8.259532	8.034073	7.988243
1415713_a_at	8.407983	8.49057	8.523381	8.605852	8.306677	8.320393	8.504245	8.513774	8.523479	8.544944	8.383881	8.470822	8.500261	8.381893	8.408074	8.398226	8.491559	8.417573
1415714_a_at	9.3411	9.290302	9.336514	9.256061	9.286281	9.257099	9.111959	9.083211	9.091914	9.106116	9.064114	9.117367	9.127332	9.195939	9.260512	9.253437	9.19563	9.235253
1415715_at	7.985016	8.02697	8.192167	8.156071	8.125979	8.043279	7.771779	7.922658	7.93012	8.08215	7.958837	7.878809	7.965613	8.039638	7.962856	8.020465	8.056542	8.100008
1415716_a_at	11.58796	11.521649	11.527003	11.659028	11.482326	11.51976	11.978168	11.921354	11.777905	11.847603	11.901678	11.811646	11.620908	11.612353	11.770026	11.771197	11.49914	11.532136
1415717_at	8.101187	8.203107	8.14027	8.069523	8.163467	8.242651	8.217251	8.109097	8.142248	8.126476	8.067818	8.11835	8.124139	8.139709	8.124168	8.104708	8.173477	8.093647
1415718_at	9.363213	9.159086	9.424434	9.348959	9.207145	9.174199	9.330337	9.224271	9.181727	9.344748	9.345143	9.32617	9.187669	9.214886	9.277271	9.354665	9.287917	9.295753
1415719_s_at	9.116309	9.145767	9.251096	9.158592	9.241378	9.227983	9.224487	9.340359	9.335609	9.322478	9.149172	9.243449	9.179223	9.245886	9.177454	9.311239	9.166533	9.199331
1415720_s_at	7.117982	7.094308	7.032318	6.91414	6.929566	6.852756	7.100606	6.993985	7.115077	7.102779	7.032129	6.933102	6.86896	6.995123	6.964984	7.032388	6.947912	7.110195
1415721_a_at	9.760539	9.688247	9.732346	9.62203	9.463819	9.493663	9.733488	9.697979	9.731514	9.777834	9.665682	9.702527	9.583123	9.551458	9.554167	9.611754	9.639313	9.73342
1415722_a_at	8.865727	8.961388	8.90835	8.862072	8.769548	8.886207	8.97556	9.034356	8.892664	8.871425	8.83184	8.88898	8.864554	8.981138	8.750326	8.898312	8.834098	8.784509
1415723_at	10.695589	10.67098	10.765938	10.773033	10.493557	10.574448	11.225295	11.180561	11.279736	11.323145	11.11461	11.172995	10.942705	10.87627	10.858408	10.966228	10.682053	10.635642
1415724_a_at	10.545371	10.594696	10.339428	10.431803	10.606374	10.61864	10.028201	10.32431	10.384876	10.461983	10.192379	10.336203	10.48429	10.435004	10.240766	10.428348	10.330395	10.269583
1415725_at	6.571035	6.728562	6.366098	6.669481	6.559838	6.629461	6.883219	7.220526	6.809774	6.880119	6.752194	6.72489	6.565346	6.63179	6.28541	6.531831	6.454874	6.37689
1415726_at	8.757249	8.644541	8.549215	8.661992	8.603395	8.651699	8.871824	8.933032	8.933476	8.994104	8.889022	8.869007	8.576693	8.659275	8.290499	8.590899	8.451329	8.548248
1415727_at	10.443757	10.313784	10.569623	10.500472	10.27163	10.086437	10.476514	10.531754	10.541385	10.557996	10.479952	10.508259	10.395436	10.362593	10.403149	10.503665	10.485998	10.518308
1415728_at	9.027758	9.136433	9.056952	8.903857	8.941516	8.930913	9.212277	9.274168	9.07135	9.050762	9.05095	9.144354	8.858478	8.815728	8.752524	8.893567	8.858273	8.901922
1415729_at	8.855557	8.760353	8.774936	8.763803	8.79729	8.746339	8.882495	9.050837	9.022183	9.017247	8.767232	8.770726	8.923973	8.823217	8.827257	8.857044	8.828241	8.710069
1415730_at	8.222668	8.267373	8.245918	8.301702	8.27741	8.178312	8.381346	8.438884	8.503294	8.599267	8.385769	8.38905	8.449963	8.458163	8.333894	8.240562	8.186234	8.177869
1415731_at	7.751831	7.689706	7.785506	7.740171	7.677113	7.727554	7.634285	7.871907	7.715858	7.755854	7.81145	7.714234	7.606435	7.714047	7.725931	7.691953	7.679822	7.675692
1415732_at	9.844433	9.871431	9.681119	9.603407	9.742046	9.788609	9.695484	9.631758	9.46925	9.47528	9.471435	9.66686	9.628556	9.56243	9.704587	9.740767	9.644695	9.687323
1415733_a_at	9.299197	9.288685	9.385763	9.419258	9.393523	9.44668	9.160796	9.163151	9.132442	9.195078	9.25593	9.222401	9.174643	9.176006	9.293101	9.328571	9.349149	9.337813
1415734_at	11.237918	11.323051	11.293446	11.211144	11.168038	11.160719	11.335961	11.267662	11.301576	11.318908	11.248145	11.237125	11.108072	11.182725	11.244356	11.262835	11.187349	11.236618
1415735_at	9.924916	9.940036	9.771666	9.690377	9.791772	9.88317	9.920857	9.901627	9.63212	9.731953	9.644813	9.701864	9.605775	9.808039	9.810564	9.828429	9.649541	9.745906
1415736_at	10.040813	10.050746	10.143281	10.07144	10.174794	9.950641	9.990253	10.095839	10.060099	10.125866	10.237315	10.101245	10.125278	9.974245	10.077845	10.133259	9.861977	10.044758
1415737_at	9.506417	9.415098	9.613042	9.565111	9.455076	9.392349	9.466681	9.528913	9.439863	9.347336	9.291922	9.348786	9.470554	9.373979	9.303658	9.436697	9.467144	9.450421
1415738_at	9.203606	9.175913	9.02483	9.046496	9.095496	9.066464	8.983141	9.119034	8.869809	9.000127	8.951682	9.022009	9.031873	9.12829	9.091995	9.042989	9.07259	9.028644
1415739_at	8.503192	8.494551	8.593457	8.611335	8.388604	8.381826	8.612966	8.701085	8.660676	8.603404	8.65535	8.586904	8.552856	8.711511	8.688275	8.735673	8.602799	8.412628
1415740_at	10.396679	10.374844	10.407879	10.34065	10.424188	10.336158	10.320543	10.308363	10.197251	10.27667	10.249983	10.264183	10.318501	10.30488	10.264423	10.362058	10.322734	10.427671
1415741_at	8.217483	8.32451	8.332668	8.169179	8.226169	8.291939	8.018075	8.243381	8.073212	8.132732	8.261961	8.206816	8.229858	8.316904	8.130964	8.201883	8.208423	8.205689
1415742_at	9.732959	9.665066	9.786059	9.74695	9.643171	9.44546	9.605769	9.664864	9.72815	9.735626	9.642379	9.644501	9.592464	9.589865	9.657119	9.655018	9.62091	9.690367
1415743_at	8.624159	8.781149	8.609815	8.468484	8.577157	8.519631	8.671713	8.669166	8.384346	8.504032	8.538002	8.514677	8.820462	8.956236	8.486506	8.628563	8.408631	8.497613
1415744_at	9.407382	9.519623	9.573894	9.415017	9.442478	9.200667	9.666895	9.640901	9.481412	9.498884	9.593212	9.541109	9.454499	9.453014	9.410217	9.416754	9.404442	9.462124
1415745_a_at	8.337348	8.458835	8.507568	8.479984	8.403617	8.181578	8.329857	8.438486	8.425003	8.420993	8.477535	8.449011	8.540288	8.589589	8.3017	8.505347	8.419772	8.578044
1415746_at	8.829638	8.702516	8.672698	8.64458	8.738516	8.739565	8.832987	8.927081	8.739159	8.895911	8.756028	8.794387	8.715489	8.885675	8.647077	8.623909	8.626886	8.768859
1415747_s_at	10.197044	10.123332	10.066309	10.008341	10.184316	10.237069	9.90058	9.960297	10.091215	10.082952	9.880481	9.888247	10.087745	10.033051	9.965607	10.077785	9.98755	9.961932
1415748_a_at	9.18163	9.149776	9.240633	8.998431	9.057913	9.046392	8.816759	8.871072	8.868128	8.803212	8.809127	8.919306	8.942338	9.02573	8.886758	9.023119	8.954191	9.111693
1415749_a_at	8.953932	8.847983	8.995488	8.922952	8.971894	8.90396	9.013463	8.995085	9.206887	9.28556	9.06334	9.015705	8.943119	8.865716	8.960492	8.924737	8.81943	8.914198
1415750_at	7.993369	7.995792	7.642153	7.633571	7.938283	7.83623	7.592671	7.573572	7.507588	7.436033	7.79132	7.719662	7.623172	7.638699	7.753703	7.804819	7.719597	7.697532
1415751_at	9.739	9.874871	10.066528	9.967165	9.799315	9.747013	10.148462	10.138993	10.112531	10.118587	10.107483	10.044424	9.951132	9.994053	9.902234	10.000695	9.947183	9.872
1415752_at	10.182172	10.222065	10.364306	10.325493	10.255079	10.170015	10.388116	10.322851	10.260256	10.193325	10.082507	10.106738	10.248738	10.217411	10.27653	10.382104	10.389069	10.341359
1415753_at	10.071082	10.092673	10.054165	10.033063	9.784032	9.809357	9.774012	9.979678	9.899946	10.026872	9.832403	9.945931	9.873142	9.866948	9.976154	10.042626	9.923314	10.036575
1415754_at	8.929023	9.136952	9.215513	9.072881	9.053273	8.940658	9.227576	9.221459	9.213219	9.198866	9.250058	9.193839	9.00399	9.06397	9.077575	9.195697	9.123769	9.165452
1415755_a_at	9.328161	9.441013	9.388531	9.359121	9.34774	9.359263	9.316654	9.461082	9.334729	9.477283	9.363285	9.323127	9.359634	9.239847	9.132411	9.22499	9.273037	9.394152
1415756_a_at	7.425515	7.664318	7.661746	7.503092	7.49584	7.507631	7.314102	7.555156	7.547698	7.693977	7.623632	7.626501	7.318815	7.584297	7.288667	7.446107	7.166197	7.356627
1415757_at	9.230757	9.116522	9.299148	9.324158	9.186992	9.270368	9.131942	9.110828	8.965552	9.042248	8.916945	9.034356	9.275591	9.260714	9.20652	9.180362	9.1972	9.297625
1415758_at	6.901242	6.938401	7.052754	7.035793	6.927017	7.047721	7.079971	7.198102	7.022022	7.174502	6.72839	7.107872	6.797413	7.050611	7.009339	7.032476	6.953471	6.949064
1415759_a_at	9.412121	9.342475	9.269753	9.243217	9.255965	9.168927	9.293418	9.428186	9.288238	9.336555	9.349195	9.219111	9.279348	9.237967	9.169886	9.332963	9.212655	9.282942
1415760_s_at	10.425209	10.536017	10.959812	10.919916	10.329221	10.285864	11.107941	11.222724	11.236466	11.253118	11.02572	11.119619	10.773749	10.904828	10.896386	10.925241	10.884369	11.030944
1415761_at	9.359688	9.393647	9.44026	9.359804	9.455947	9.238445	9.328346	9.438385	9.250282	9.378074	9.336695	9.345233	9.280884	9.241773	9.31253	9.35895	9.374091	9.424035
1415762_x_at	9.33281	9.185591	9.341233	9.277074	9.306603	9.164738	9.218408	9.271804	9.196698	9.24766	9.206598	9.160277	9.220521	9.160964	9.230078	9.212952	9.19699	9.273159
1415763_a_at	9.442099	9.507957	9.575819	9.551083	9.466551	9.465429	9.551375	9.607568	9.529294	9.550593	9.491172	9.598144	9.487146	9.447455	9.543415	9.470176	9.405222	9.488785
1415764_at	10.002167	9.951578	10.158282	10.102628	9.975055	9.998847	10.296854	10.349339	10.216103	10.274191	10.19147	10.210069	10.039798	10.020785	9.946269	9.996778	10.010715	9.994034
1415765_at	7.947353	7.939702	7.966746	8.023852	7.835305	7.745465	8.069108	8.093766	8.141202	8.291713	7.873441	7.837124	7.833663	7.699991	7.908007	7.862551	7.863448	7.80803
1415766_at	8.884917	8.779825	8.68306	8.646181	8.862019	8.786133	8.544908	8.613409	8.634276	8.672008	8.362417	8.387413	8.768833	8.794279	8.800317	8.823372	8.636572	8.58225
1415767_at	9.187516	9.234801	9.066709	9.07175	9.250943	9.280149	9.222454	9.365766	9.29016	9.382513	9.275505	9.317941	9.228374	9.25854	9.187089	9.198653	9.026728	9.004526
1415768_a_at	9.286288	9.374783	9.997582	10.054435	9.244218	9.37448	9.636396	9.84556	9.755117	9.831326	9.677688	9.550828	9.468404	9.395427	9.500805	9.515686	9.475389	9.400104
1415769_at	8.863433	8.878681	9.040212	9.002334	8.932003	8.902758	9.04082	9.055531	9.363514	9.424542	9.17423	9.05581	9.014621	9.065001	9.080623	9.029585	9.04234	9.039483
1415770_at	7.625478	7.527741	7.445406	7.489264	7.415191	7.355393	7.56909	7.696222	7.596053	7.551058	7.315919	7.523333	7.456707	7.368258	7.285609	7.351308	7.423914	7.435772
1415771_at	10.276049	10.350605	10.08752	10.053855	10.115262	10.109408	10.398003	10.440487	10.467766	10.516846	10.461575	10.325244	10.260239	10.223791	10.182391	10.249341	9.893521	9.917727
1415772_at	6.141492	6.064196	6.116645	6.225326	6.140127	5.905143	6.294749	6.695144	6.484432	6.467034	6.22158	6.22279	6.208812	6.214863	6.181037	6.161348	6.070507	6.165375
1415773_at	8.96925	8.775764	8.430362	8.509662	8.77842	8.798209	8.252895	8.742301	8.774471	8.817181	8.934326	8.91353	8.707697	8.699081	8.624158	8.739515	8.351435	8.210851
1415774_at	7.64504	7.439824	7.233628	7.560383	7.588938	7.496644	7.344693	7.44403	7.395358	7.392699	7.400734	7.391701	7.461523	7.445766	7.615229	7.419761	7.496244	7.48454
1415775_at	9.844937	10.020846	10.035052	9.966463	9.981834	9.91497	10.09775	10.055062	9.992951	10.040854	10.030211	10.039813	10.027576	9.991261	10.009296	10.052749	9.877307	9.880421
1415776_at	10.738491	10.687427	11.275823	11.32892	10.451054	10.517333	10.946546	10.837957	10.914938	11.034178	11.215884	11.037322	10.962112	10.918729	10.944226	11.032764	11.158449	11.213517
1415777_at	4.774579	4.598033	4.801754	4.731659	4.688197	4.806591	4.660252	4.932994	4.753736	4.660003	4.633053	4.916335	4.852717	4.798055	4.916283	4.79229	4.686314	4.85586
1415778_at	10.862685	10.846189	10.640211	10.539935	10.833235	10.808837	10.62832	10.644182	10.367032	10.374885	10.503307	10.550203	10.66942	10.631971	10.688056	10.728954	10.655773	10.550498
1415779_s_at	11.014462	11.148608	11.230202	11.223945	11.176812	11.118405	11.010314	10.964777	10.909305	10.967757	11.037426	11.046608	11.525728	11.448841	11.303258	11.301489	11.189311	11.132912
1415780_a_at	5.50182	5.508293	5.631585	5.715438	5.526986	5.601144	5.683715	5.448006	5.467722	5.502601	5.66415	5.684348	5.454103	5.691818	5.481304	5.446888	5.661352	5.628524
1415781_a_at	11.360478	11.351593	11.395778	11.406953	11.548836	11.518864	11.501038	11.542365	11.423084	11.483711	11.433059	11.363137	11.332269	11.279275	11.317265	11.304958	11.276913	11.288026
1415782_at	10.080961	10.139716	10.062745	10.062764	10.179103	10.118614	10.087371	10.135475	10.118635	10.084792	10.045628	9.962268	10.057641	9.913642	10.008068	10.059919	9.981257	10.007481
1415783_at	10.372374	10.517507	10.485049	10.434452	10.380922	10.357483	10.648235	10.622075	10.678276	10.744719	10.533225	10.599948	10.494024	10.479907	10.465862	10.488862	10.400119	10.359742
1415784_at	7.43253	7.430887	6.814644	7.222008	7.225107	7.359182	6.752956	6.945821	6.969624	7.148644	7.296087	7.363328	7.045027	7.062576	7.021608	7.176873	6.862056	6.905421
1415785_a_at	10.108517	9.95298	9.948922	9.952031	10.094309	10.057295	10.102384	10.048188	9.975201	10.07124	10.070785	9.959879	9.965678	9.844768	9.897115	9.908292	9.694169	9.798988
1415786_at	6.70184	6.768603	6.726377	6.650444	6.654267	6.768136	6.852926	6.659526	6.758173	6.624826	6.617748	6.685468	6.758763	6.678804	6.768285	6.66389	6.772053	6.651973
1415787_at	9.829281	9.875349	9.876847	9.734218	9.769	9.789999	9.853289	9.931206	9.827765	9.865635	9.744098	9.76389	9.755252	9.761926	9.767626	9.675411	9.765781	9.659093
1415788_at	8.760489	8.753434	8.669384	8.691873	8.905219	8.815546	8.69316	8.899894	8.899141	8.881502	8.696526	8.779714	8.849992	8.994634	8.739101	8.764597	8.560147	8.685893
1415789_a_at	7.8513	7.852255	7.753167	7.750495	7.835675	7.850079	7.724974	7.902796	7.883921	7.973561	7.641881	7.770363	7.837755	7.883921	7.847202	7.886292	7.624422	7.782043
1415790_at	8.021041	7.831068	7.711042	7.756645	7.92337	7.889377	7.868454	7.832438	7.748353	7.814433	7.683667	7.66305	7.924863	7.831087	7.765042	7.946703	7.725126	7.785584
1415791_at	8.189484	8.228519	8.106851	8.079172	8.194205	8.097001	7.84688	8.010935	8.085681	8.08831	7.869861	8.037488	8.038946	8.10085	7.99714	8.139068	8.03044	8.160117
1415792_at	9.392646	9.333467	9.253958	9.18706	9.208784	9.151868	9.166799	9.217427	9.025939	9.00779	9.0665	9.154955	9.078389	9.004788	9.136052	9.155734	9.178081	9.218968
1415793_at	10.467248	10.5802	10.732054	10.704206	10.143173	10.291415	11.115366	11.120107	11.072882	11.058995	11.035748	11.052809	10.780689	10.702265	10.693891	10.698903	10.692518	10.738404
1415794_a_at	9.060262	8.760901	8.855162	8.853304	8.841832	8.756255	9.068228	9.13472	9.101519	9.237469	9.028622	9.087706	8.92644	8.800955	8.739119	8.880636	8.680722	8.550621
1415795_at	7.464302	7.229072	7.406666	7.243108	7.525923	7.216655	7.309383	7.129486	7.411688	7.359968	7.333482	7.401301	7.262553	7.272096	7.209456	7.360672	7.183829	7.226572
1415796_at	10.053532	10.126728	10.115268	10.132375	10.042453	10.004014	10.186744	10.190395	10.141338	10.286392	10.289381	10.19948	10.120381	10.161961	10.198562	10.254945	10.060567	10.016355
1415797_at	6.65837	6.638456	6.638196	6.689553	6.477999	6.598294	6.731735	6.474353	6.852115	6.571053	6.72464	6.512594	6.782903	6.577389	6.808417	6.567503	6.72127	6.637649
1415798_at	5.42351	5.538885	5.371975	5.437607	5.44994	5.464679	5.469896	5.310564	5.374219	5.267046	5.444629	5.403348	5.539863	5.308931	5.641007	5.50229	5.5356	5.336806
1415799_at	8.499885	8.483116	8.461958	8.545824	8.486864	8.557423	8.405368	8.634135	8.715414	8.716842	8.450029	8.620911	8.507381	8.396789	8.380659	8.41825	8.366794	8.494113
1415800_at	4.491062	4.475257	4.565632	4.705548	4.847421	4.756076	4.967721	5.613992	5.240911	5.397751	4.848717	5.180355	4.654826	4.814167	4.59065	4.370673	4.734887	4.399353
1415801_at	6.026337	5.977946	6.038258	6.042359	6.227542	6.225228	5.980974	5.703529	5.910924	5.957667	6.316708	6.051065	6.042359	5.825765	6.006108	6.104827	6.014912	6.019999
1415802_at	10.639933	10.463337	10.339136	10.263196	10.26176	10.272978	10.240038	10.438204	9.957492	10.120949	10.171446	10.282505	10.436396	10.431002	10.060292	10.187856	10.230479	10.171972
1415803_at	6.129353	6.098385	6.180816	6.06974	6.035987	6.09377	6.176905	6.139724	6.094867	6.089944	6.176298	5.941169	6.223067	6.01312	6.062822	6.168883	6.099215	6.244776
1415804_at	6.844886	6.886367	6.734659	6.651089	6.685182	6.831311	6.753473	6.428354	6.589043	6.526328	6.591118	6.420368	6.817575	6.667646	6.801338	6.795212	6.912175	6.710262
1415805_at	6.762591	6.686699	6.610178	6.406682	6.668551	6.612833	6.658575	6.389323	6.533659	6.52416	6.712732	6.574996	6.687689	6.663052	6.644708	6.65069	6.726184	6.637822
1415806_at	5.401981	5.214756	5.162095	5.213971	5.35276	5.257178	5.225551	5.318054	5.186857	5.261647	5.464697	5.37814	5.25692	5.264019	5.235732	5.195792	5.255888	5.324605
1415807_s_at	8.688148	8.7031	8.356139	8.238186	8.760137	8.840406	8.20902	8.291333	8.248685	8.285414	8.341711	8.233241	8.383466	8.522906	8.566062	8.507684	8.228698	8.244677
1415808_at	4.663965	4.565956	4.559015	4.494946	4.436088	4.477461	4.530745	4.337675	4.327309	4.488766	4.441841	4.447453	4.687809	4.416953	4.479642	4.490521	4.606364	4.492884
1415809_at	4.706548	4.618198	4.445475	4.460465	4.653391	4.604877	4.86062	4.785925	4.69431	4.575893	4.477957	4.725681	4.680014	4.97665	4.652406	4.685106	4.502126	4.745047
1415810_at	4.566794	4.609412	4.874002	4.866006	4.700009	4.40609	4.429328	4.405048	4.487553	4.638735	4.551631	4.483882	4.542142	4.434981	5.043131	4.438633	4.889772	4.834049
1415811_at	5.385549	5.291535	5.341437	5.101441	5.302726	5.401002	5.145304	4.977118	5.163374	5.152043	5.104129	5.111745	5.176958	4.990906	5.139613	5.082846	5.316817	5.295181
